family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop
clean,clean,clean,100,0.31,0.5379529985785484,0.0
native_cure_or,native_challenge_type_02,level_1,100,0.29,0.5261037482321262,0.020000000000000018
native_cure_or,native_challenge_type_02,level_2,100,0.28,0.5290058079361916,0.02999999999999997
native_cure_or,native_challenge_type_02,level_3,100,0.27,0.5269617606699467,0.03999999999999998
native_cure_or,native_challenge_type_02,level_4,100,0.27,0.5253942289948463,0.03999999999999998
native_cure_or,native_challenge_type_05,level_1,100,0.15,0.4690859192609787,0.16
native_cure_or,native_challenge_type_05,level_2,100,0.03,0.3689328683912754,0.28
native_cure_or,native_challenge_type_05,level_3,100,0.03,0.24171923577785492,0.28
native_cure_or,native_challenge_type_05,level_4,100,0.01,0.3729187124967575,0.3
native_cure_or,native_challenge_type_09,level_1,100,0.16,0.3834591981768608,0.15
native_cure_or,native_challenge_type_09,level_2,100,0.12,0.34882368937134745,0.19
native_cure_or,native_challenge_type_09,level_3,100,0.02,0.38647973284125325,0.29
native_cure_or,native_challenge_type_09,level_4,100,0.01,0.44137458369135857,0.3
native_cure_or,native_challenge_type_14,level_1,100,0.08,0.3692768397927284,0.22999999999999998
native_cure_or,native_challenge_type_14,level_2,100,0.02,0.22645383834838867,0.29
native_cure_or,native_challenge_type_14,level_3,100,0.0,0.342339593321085,0.31
native_cure_or,native_challenge_type_14,level_4,100,0.01,0.42362634614109995,0.3
native_cure_or,native_challenge_type_18,level_1,100,0.08,0.33058182016015053,0.22999999999999998
native_cure_or,native_challenge_type_18,level_2,100,0.03,0.3689258842170238,0.28
native_cure_or,native_challenge_type_18,level_3,100,0.02,0.5860542614758014,0.29
native_cure_or,native_challenge_type_18,level_4,100,0.01,0.6414949950575829,0.3
