model_id,provider,model_version,label,clean_n,clean_accuracy,real_n,real_accuracy,real_unparseable_rate,accuracy_drop_vs_clean
Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,canon_camera,10,1.000000,80,0.862500,0.000000,0.137500
Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,calcium_bottle,10,0.900000,80,0.875000,0.000000,0.025000
Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,training_marker_cone,10,0.900000,80,0.900000,0.000000,0.000000
Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,lg_cell_phone,10,1.000000,80,0.975000,0.000000,0.025000
Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,baseball,10,1.000000,80,1.000000,0.000000,0.000000
Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,dymo_label_maker,10,1.000000,80,1.000000,0.000000,0.000000
Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,hair_brush,10,1.000000,80,1.000000,0.000000,0.000000
Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,pan,10,1.000000,80,1.000000,0.000000,0.000000
Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,shoes,10,1.000000,80,1.000000,0.000000,0.000000
Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,toy,10,1.000000,80,1.000000,0.000000,0.000000
