model_id,provider,model_version,label,clean_n,clean_accuracy,real_n,real_accuracy,real_unparseable_rate,accuracy_drop_vs_clean
OpenGVLab/InternVL3-2B-hf,huggingface,,lg_cell_phone,10,0.800000,80,0.762500,0.000000,0.037500
OpenGVLab/InternVL3-2B-hf,huggingface,,calcium_bottle,10,0.900000,80,0.862500,0.000000,0.037500
OpenGVLab/InternVL3-2B-hf,huggingface,,canon_camera,10,1.000000,80,0.975000,0.000000,0.025000
OpenGVLab/InternVL3-2B-hf,huggingface,,baseball,10,1.000000,80,1.000000,0.000000,0.000000
OpenGVLab/InternVL3-2B-hf,huggingface,,dymo_label_maker,10,1.000000,80,1.000000,0.000000,0.000000
OpenGVLab/InternVL3-2B-hf,huggingface,,hair_brush,10,1.000000,80,1.000000,0.000000,0.000000
OpenGVLab/InternVL3-2B-hf,huggingface,,pan,10,1.000000,80,1.000000,0.000000,0.000000
OpenGVLab/InternVL3-2B-hf,huggingface,,shoes,10,1.000000,80,1.000000,0.000000,0.000000
OpenGVLab/InternVL3-2B-hf,huggingface,,toy,10,1.000000,80,1.000000,0.000000,0.000000
OpenGVLab/InternVL3-2B-hf,huggingface,,training_marker_cone,10,1.000000,80,1.000000,0.000000,0.000000
